date,revenue_cr,price
2025-05-16,7.932288,2426.3091
2025-05-19,9.778914,2486.3085
2025-05-20,21.558794,2461.8087
2025-05-21,5.339513,2434.9757
2025-05-22,4.324209,2332.1433
2025-05-23,9.817399,2448.0
2025-05-26,13.156198,2450.0
2025-05-27,32.845507,2404.0
2025-05-28,3.30179,2404.0
2025-05-29,3.629639,2464.5
2025-05-30,7.750879,2674.0
2025-06-02,14.975053,2693.3
2025-06-03,27.075519,2764.9
2025-06-04,2.924784,2797.1
2025-06-05,4.669352,2909.8
2025-06-06,9.745057,2933.2
2025-06-09,6.923002,2994.4
2025-06-10,14.19425,3005.4
2025-06-11,3.247413,2882.4
2025-06-12,4.324335,2754.1
2025-06-13,8.496574,2711.2
2025-06-16,10.717116,2697.4
2025-06-17,14.939398,2664.4
2025-06-18,3.287744,2633.2
2025-06-19,2.962427,2595.4
2025-06-20,8.774457,2688.1
2025-06-23,10.818602,2775.3
2025-06-24,29.458811,2785.6
2025-06-25,3.155637,2789.0
2025-06-26,5.119708,2803.0
2025-06-27,6.84078,2775.6
2025-06-30,9.869159,2770.1
2025-07-01,14.020083,2775.1
2025-07-02,3.580004,2752.4
2025-07-03,4.806642,2820.1
2025-07-04,7.644147,2635.2
2025-07-07,7.561288,2636.2
2025-07-08,13.277611,2477.0
2025-07-09,2.981475,2523.8
2025-07-10,3.448436,2466.3
2025-07-11,7.490634,2371.1
2025-07-14,10.295489,2460.7
2025-07-15,18.64788,2546.0
2025-07-16,3.351783,2530.0
2025-07-17,3.234669,2474.9
2025-07-18,8.20681,2448.5
2025-07-21,11.357257,2521.3
2025-07-22,17.610945,2548.4
2025-07-23,3.699281,2557.2
2025-07-24,3.968375,2547.8
2025-07-25,9.166291,2454.0
2025-07-28,13.392183,2449.9
2025-07-29,22.096312,2487.1
2025-07-30,3.812608,2457.5
2025-07-31,5.593284,2427.4
2025-08-01,13.052592,2411.3
2025-08-04,14.011473,2486.6
2025-08-05,21.112694,2367.2
2025-08-06,4.763835,2387.6
2025-08-07,5.97382,2442.2
2025-08-08,12.650485,2392.9
2025-08-11,14.606612,2396.3
2025-08-12,30.74107,2368.7
2025-08-13,5.357963,2496.4
2025-08-14,4.313862,2482.0
2025-08-18,14.19874,2494.8
2025-08-19,22.330365,2491.5
2025-08-20,3.906412,2523.0
2025-08-21,4.624985,2332.2
2025-08-22,8.984528,2332.8
2025-08-25,10.709137,2290.8
2025-08-26,21.978087,2215.6
2025-08-28,4.391524,2178.4
2025-08-29,7.660283,2096.2
2025-09-01,5.494355,2180.4
2025-09-02,6.627998,2194.2
2025-09-03,18.495781,2214.0
2025-09-04,32.66055,2219.5
2025-09-05,7.119299,2319.6
2025-09-08,6.238472,2346.2
2025-09-09,5.2519,2353.2
2025-09-10,14.332603,2266.5
2025-09-11,19.041655,2162.8
2025-09-12,4.068673,2201.2
2025-09-15,4.308003,2227.4
2025-09-16,5.011227,2199.3
2025-09-17,11.441451,2209.8
2025-09-18,20.266651,2198.3
2025-09-19,5.316039,2182.6
2025-09-22,6.070038,2156.2
2025-09-23,6.688619,2122.2
2025-09-24,15.802988,2076.4
2025-09-25,24.429919,2043.3
2025-09-26,6.098348,2043.2
2025-09-29,6.980493,2097.4
2025-09-30,6.077021,2040.2
2025-10-01,27.910104,2081.4
2025-10-03,6.140935,2093.4
2025-10-06,6.241633,2217.9
2025-10-07,7.512744,2231.2
2025-10-08,21.374837,2244.2
2025-10-09,29.775438,2330.2
2025-10-10,6.475774,2385.0
2025-10-13,7.237154,2476.0
2025-10-14,8.41112,2448.3
2025-10-15,16.495107,2456.3
2025-10-16,26.662265,2509.2
2025-10-17,9.875896,2485.6
2025-10-20,7.232078,2494.1
2025-10-21,2.331714,2487.8
2025-10-23,31.553013,2487.5
2025-10-24,7.395305,2475.0
2025-10-27,6.867367,2510.2
2025-10-28,7.657512,2419.7
2025-10-29,18.314677,2447.3
2025-10-30,29.290918,2442.8
2025-10-31,7.090429,2479.0
2025-11-03,7.177869,2548.3
2025-11-04,6.530003,2496.6
2025-11-06,28.72961,2455.5
2025-11-07,7.458154,2678.3
2025-11-10,6.084419,2625.3
2025-11-11,7.417233,2644.2
2025-11-12,15.341723,2775.4
2025-11-13,32.464354,2760.2
2025-11-14,7.993519,2827.6
2025-11-17,5.852285,2811.9
2025-11-18,6.840849,2834.1
